v1,v2,v3,v4,v5
ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",,,
ham,"\Im on gloucesterroad what are uup to later?\""""",,,
ham,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.,,,
ham,Then u drive lor.,,,
ham,Its  &lt;#&gt; k here oh. Should i send home for sale.,,,
ham,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,,,
ham,"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back.",,,
ham,I will be gentle princess! We will make sweet gentle love...,,,
spam,You have 1 new voicemail. Please call 08719181513.,,,
ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,,,
ham,Reason is if the team budget is available at last they buy the unsold players for at base rate..,,,
ham,Yep. I do like the pink furniture tho.,,,
ham,Then get some cash together and I'll text jason,,,
ham,The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do,,,
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,,,
ham,No management puzzeles.,,,
spam,Ringtone Club: Gr8 new polys direct to your mobile every week !,,,
ham,What time. IÛ÷m out until prob 3 or so,,,
ham,Not a drop in the tank,,,
ham,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,,,
ham,Me fine..absolutly fine,,,
ham,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;,,,
ham,"Sorry, I'll call later ok bye",,,
ham,Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit... ,,,
ham,Crucify is c not s. You should have told me earlier.,,,
ham,"fyi I'm at usf now, swing by the room whenever",,,
ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",,,
ham,I want to be there so i can kiss you and feel you next to me,,,
ham,He says hi and to get your ass back to south tampa (preferably at a kegger),,,
ham,hanks lotsly!,,,
ham,"I know where the  &lt;#&gt;  is, I'll be there around 5",,,
ham,We have to pick rayan macleran there.,,,
ham,"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ",,,
spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D,,,
ham,Ok...,,,
ham,Just glad to be talking to you.,,,
ham,Well i will watch shrek in 3D!!B),,,
ham,Onum ela pa. Normal than.,,,
ham,"Haha... Sounds crazy, dunno can tahan anot...",,,
ham,Yay! You better not have told that to 5 other girls either.,,,
ham,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons,,,
ham,Thanks for this hope you had a good day today,,,
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,,,
ham,No messages on her phone. I'm holding it now,,,
ham,You need to get up. Now.,,,
ham,Wewa is 130. Iriver 255. All 128 mb.,,,
ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,,,
ham,:( but your not here....,,,
ham,Mm i had my food da from out,,,
ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning",,,
spam,tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,,,
ham,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.,,,
ham,Ok. No wahala. Just remember that a friend in need ...,,,
ham,Ok k..sry i knw 2 siva..tats y i askd..,,,
ham,"Aight will do, thanks again for comin out",,,
ham,Well good morning mr . Hows london treatin' ya treacle?,,,
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99,,,
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,,,
ham,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?,,,
ham,Hi :)finally i completed the course:),,,
ham,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx,,,
ham,I ask if u meeting da ge tmr nite...,,,
ham,Yup but it's not giving me problems now so mayb i'll jus leave it...,,,
ham,"When you just put in the + sign, choose my number and the pin will show. Right?",,,
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,,
ham,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,,,
ham,Aight sorry I take ten years to shower. What's the plan?,,,
spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,,,
ham,"Customer place, i wil cal u sir.",,,
ham,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,,,
spam,83039 62735=å£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 ,,,
ham,Happy birthday... May all ur dreams come true...,,,
ham,Hows the pain dear?y r u smiling?,,,
ham,"Awesome, that gonna be soon or later tonight?",,,
ham,"Pity, * was in mood for that. So...any other suggestions?",,,
ham,Ok lor wat time Ì_ finish?,,,
ham,Eatin my lunch...,,,
ham,"Sorry, I'll call later",,,
ham,Wat uniform? In where get?,,,
ham,Those were my exact intentions,,,
ham,"Sorry, I'll call later",,,
spam,URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm,,,
spam,"Congratulations! Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate",,,
ham,I'm freezing and craving ice. Fml,,,
ham,Sorry da..today i wont come to play..i have driving clas..,,,
ham,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX,,,
spam,МЕГА РАСПРОДАЖА! Элитная косметика 99р! beauty-sale24.ru,,,
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,,,
ham,I am not at all happy with what you saying or doing,,,
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,,,
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",,,
ham,Поздравляю с днем рождения! Желаю счастья и здоровья!,,,
ham,I'm at home. Please call,,,
ham,Daddy will take good care of you :),,,
ham,Yo dude guess who just got arrested the other day,,,
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",,,
ham,"Oops I did have it,  &lt;#&gt; ?",,,
ham,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,,,
ham,"Ключи оставил у соседей, они дома после 18:00",,,
ham,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",,,
ham,Ok then no need to tell me anything i am going to sleep good night,,,
ham,I not at home now lei...,,,
ham,Din i tell u jus now 420,,,
ham,Love you aathi..love u lot..,,,
ham,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",,,
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,,,
ham,I dont know oh. Hopefully this month.,,,
ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",,,
ham,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,,,
ham,R u in this continent?,,,
ham,What's the significance?,,,
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,,,
spam,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,,,
spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play å£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",,,
spam,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402.",,,
ham,Hasn't that been the pattern recently crap weekends?,,,
ham,Prakesh is there know.,,,
ham,Yup song bro. No creative. Neva test quality. He said check review online.,,,
spam,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",,,
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",,,
ham,Hi.what you think about match?,,,
ham,Dunno lei shd b driving lor cos i go sch 1 hr oni.,,,
ham,Ma head dey swell oh. Thanks for making my day,,,
spam,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription",,,
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan,,,
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,,,
ham,Give one miss from that number please,,,
ham,"IÛ÷ve got some salt, you can rub it in my open wounds if you like!",,,
ham,Yes we are chatting too.,,,
spam,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,,,
ham,Hello- thanx for taking that call. I got a job! Starts on monday!,,,
ham,Otherwise had part time job na-tuition..,,,
spam,RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,,,
ham,Ok... Ur typical reply...,,,
ham,Oh... Kay... On sat right?,,,
ham,"How long before you get reply, just defer admission til next semester",,,
ham,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day",,,
ham,"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around",,,
ham,My friends use to call the same.,,,
ham,Got it! It looks scrumptious... daddy wants to eat you all night long!,,,
ham,My uncles in Atlanta. Wish you guys a great semester.,,,
ham,Ill be there on  &lt;#&gt;  ok.,,,
ham,ÌÏ got wat to buy tell us then Ì_ no need to come in again.,,,
ham,Oh ho. Is this the first time u use these type of words,,,
ham,"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much",,,
spam,URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893,,,
ham,Не забудь купить молоко и хлеб по дороге домой,,,
ham,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel",,,
ham,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,,,
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,,,
ham,"sir, you will receive the account no another 1hr time. Sorry for the delay.",,,
ham,K:)k.are you in college?,,,
ham,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",,,
ham,Ranjith cal drpd Deeraj and deepak 5min hold,,,
ham,Dont gimme that lip caveboy,,,
ham,And of course you should make a stink!,,,
ham,Where are the garage keys? They aren't on the bookshelf,,,
ham,No chikku nt yet.. Ya i'm free,,,
ham,Oh god..taken the teeth?is it paining,,,
ham,Lolnice. I went from a fish to ..water.?,,,
ham,S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),,,
ham,They r giving a second chance to rahul dengra.,,,
spam,"Win the newest åÒHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",,,
ham,"Машина в сервисе, завтра заберу. Все нормально",,,
ham,So wat's da decision?,,,
ham,Got meh... When?,,,
ham,K..k..any special today?,,,
ham,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,,,
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,,,
ham,I asked sen to come chennai and search for job.,,,
ham,K do I need a login or anything,,,
ham,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",,,
spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,,,
ham,"Sorry, I'll call later",,,
spam,Marvel Mobile Play the official Ultimate Spider-man game (å£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper,,,
ham,Yup... From what i remb... I think should be can book... ,,,
ham,How much is torch in 9ja.,,,
ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,,,
ham,How much u trying to get?,,,
ham,Please sen :)my kind advice :-)please come here and try:-),,,
ham,Remember on that day..,,,
ham,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,,,
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",,,
spam,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",,,
ham,Yeah sure I'll leave in a min,,,
ham,Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...,,,
ham,"Wat time liao, where still got.",,,
ham,Midnight at the earliest,,,
ham,Home so we can always chat,,,
ham,Might ax well im there.,,,
ham,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),,,
ham,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",,,
ham,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*",,,
ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,,,
ham,Bognor it is! Should be splendid at this time of year.,,,
ham,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,,,
ham,S now only i took tablets . Reaction morning only.,,,
ham,This weekend is fine (an excuse not to do too much decorating),,,
ham,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",,,
ham,Is fujitsu s series lifebook good?,,,
ham,"Just looked it up and addie goes back Monday, sucks to be her",,,
ham,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th,,,
ham,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to \DRINK\"". . . But don't \""DRIVE \""""",,,
ham,What is this 'hex' place you talk of? Explain!,,,
spam,Зарабатывай на криптовалюте! Вложи 5000 получи 50000! Регистрация bitcoin-profit.com,,,
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,,,
spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",,,
ham,I not free today i haf 2 pick my parents up tonite...,,,
ham,"Goodmorning,my grandfather expired..so am on leave today.",,,
ham,Once free call me sir.,,,
ham,Just sent it. So what type of food do you like?,,,
ham,No message..no responce..what happend?,,,
ham,Sorry sent blank msg again. Yup but trying 2 do some serious studying now.,,,
spam,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,,,
ham,Feel like trying kadeem again? :V,,,
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,,,
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",,,
ham,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",,,
ham,Are you not around or just still asleep? :V,,,
ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",,,
ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",,,
ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,,,
ham,There's no point hangin on to mr not right if he's not makin u happy,,,
ham,Have you got Xmas radio times. If not i will get it now,,,
ham,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? ",,,
spam,Распродажа! Брендовая одежда -95%! Только 2 часа! Успей купить: brand-sale.ru,,,
ham,For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;,,,
ham,Lol or I could just starve and lose a pound by the end of the day.,,,
ham,So when do you wanna gym harri,,,
ham,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...,,,
ham,"Come to mu, we're sorting out our narcotics situation",,,
ham,I'm meeting Darren...,,,
ham,Going to join tomorrow.,,,
ham,Congrats kano..whr s the treat maga?,,,
ham,Now thats going to ruin your thesis!,,,
ham,For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,,,
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",,,
ham,Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.,,,
ham,Going for dinner.msg you after.,,,
ham,"Yeah, we can probably swing by once my roommate finishes up with his girl",,,
ham,"Haha just kidding, papa needs drugs",,,
spam,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs å£1.50 each",,,
ham,Ok no prob. Take ur time.,,,
ham,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.,,,
ham,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,,,
ham,"Yes obviously, but you are the eggs-pert and the potato headÛ_ Speak soon! ",,,
ham,Don know..he is watching film in computer..,,,
ham,You will be in the place of that man,,,
ham,And you! Will expect you whenever you text! Hope all goes well tomo ,,,
ham,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,,,
ham,"They can try! They can get lost, in fact. Tee hee",,,
ham,Great. Never been better. Each day gives even more reasons to thank God,,,
ham,What type of stuff do you sing?,,,
ham,"Like I made him throw up when we were smoking in our friend's car one time, it was awesome",,,
ham,"Hurry up, I've been weed-deficient for like three days",,,
ham,Den wat will e schedule b lk on sun?,,,
ham,Lol I would but despite these cramps I like being a girl.,,,
ham,We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;,,,
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,,,
ham,"\HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.\""""",,,
spam,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,,,
ham,The hair cream has not been shipped.,,,
ham,Yup ok...,,,
ham,ÌÏ called dad oredi...,,,
ham,"Yo, you at jp and hungry like a mofo?",,,
ham,Oh... Okie lor...We go on sat... ,,,
ham,Goin to workout lor... Muz lose e fats... ,,,
ham,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... ,,,
ham,ÌÏ still got lessons?  ÌÏ in sch?,,,
ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),,,
ham,"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?",,,
spam,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",,,
ham,Как прошел экзамен? Надеюсь все хорошо,,,
ham,Pls she needs to dat slowly or she will vomit more.,,,
ham,\Hey j! r u feeling any better,,,
ham,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,,,
ham,I'll pick you up at about 5.15pm to go to taunton if you still want to come.,,,
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",,,
ham,Yes.. now only saw your message..,,,
spam,You have 1 new voicemail. Please call 08719181513.,,,
ham,"Yeah I should be able to, I'll text you when I'm ready to meet up",,,
ham,Ok,,,
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04,,,
ham,Argh why the fuck is nobody in town ;_;,,,
ham,K go and sleep well. Take rest:-).,,,
ham,You made my day. Do have a great day too.,,,
ham,Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!,,,
ham,Oh k :)why you got job then whats up?,,,
ham,Pathaya enketa maraikara pa',,,
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,,,
ham,"Cool, I'll text you when I'm on the way",,,
ham,How do you guys go to see movies on your side.,,,
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,,,
ham,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,,,
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,,,
ham,U sure u can't take any sick time?,,,
ham,I'm thinking that chennai forgot to come for auction..,,,
ham,"Tonight? Yeah, I'd be down for that",,,
ham,No no:)this is kallis home ground.amla home town is durban:),,,
spam,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just å£5 by replying GET BBDELUXE and take the challenge,,,
spam,Срочная вакансия! Менеджер 300000р! Без опыта! Звони 8-XXX-XXX-XXXX,,,
ham,Okie...,,,
ham,I wanted to ask Ì_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,,,
ham,Or just do that 6times,,,
ham,Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish ,,,
ham,"Jay wants to work out first, how's 4 sound?",,,
ham,Ok.. ÌÏ finishing soon?,,,
ham,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,,,
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,,,
spam,"Latest News! Police station toilet stolen, cops have nothing to go on!",,,
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",,,
ham,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,,,
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",,,
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",,,
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,,,
ham,"Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?",,,
ham,"Sir, i am waiting for your call.",,,
ham,\alright babe,,,
ham,Hi da:)how is the todays class?,,,
ham,Meet after lunch la...,,,
ham,That's one of the issues but california is okay. No snow so its manageable,,,
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,,,
ham,"K, I'll work something out",,,
ham,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,,,
spam,URGENT! Your Mobile number has been awarded with a å£2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,,,
ham,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is! ,,,
ham,"Me not waking up until 4 in the afternoon, sup",,,
spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now,,,
ham,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",,,
ham,Happy new year to u too!,,,
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",,,
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,,,
ham,She's good. How are you. Where r u working now,,,
ham,No it will reach by 9 only. She telling she will be there. I dont know,,,
ham,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",,,
ham,Shall I bring us a bottle of wine to keep us amused? Only joking! IÛ÷ll bring one anyway,,,
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,,,
ham,Wow v v impressed. Have funs shopping!,,,
ham,"Sorry,  in meeting I'll call you later",,,
